-99,99997	264,6034
-89,99998	257,6621
-79,99999	251,4736
-70	246,0996
-60,00001	241,594
-50,00002	238,0016
-40,00003	235,3584
-30,00004	233,6908
-20,00005	233,0155
-10,00006	233,3392
-6,866455E-05	234,6587
9,999922	236,9607
19,99991	240,2224
29,9999	244,411
39,99989	249,4848
49,99989	255,3931
59,99985	262,0768
69,99984	269,4691
79,99983	277,4962
89,99982	286,0779
99,99981	295,1283
109,9998	304,5573
119,9998	314,2703
129,9998	324,1706
139,9998	334,159
149,9998	344,1359
159,9998	354,0015
169,9997	363,6573
179,9997	373,0067
189,9997	381,9564
199,9997	390,417
209,9997	398,3039
219,9997	405,5382
229,9997	412,0478
239,9997	417,7676
249,9997	422,6404
259,9997	426,6176
269,9997	429,6594
279,9997	431,7354
289,9997	432,8248
299,9997	432,9168
309,9997	432,0105
319,9997	430,1149
329,9997	427,249
339,9997	423,4413
349,9997	418,73
359,9997	413,1622
369,9997	406,7933
379,9997	399,6872
389,9997	391,9147
399,9997	383,5536
409,9997	374,6873
419,9997	365,4046
429,9997	355,798
439,9997	345,9637
449,9997	335,9998
459,9997	326,006
469,9997	316,082
479,9997	306,3271
489,9997	296,8387
499,9997	287,7116
509,9997	279,037
519,9998	270,9016
529,9998	263,3867
539,9998	256,5673
549,9998	250,5116
559,9998	245,2801
569,9998	240,925
579,9998	237,49
589,9998	235,0092
599,9998	233,5076
609,9998	233
619,9998	233,4916
629,9998	234,9775
639,9998	237,4428
649,9998	240,8628
659,9998	245,2035
669,9997	250,4213
679,9997	256,4643
689,9997	263,272
699,9997	270,7764
709,9997	278,9025
719,9997	287,5692
729,9996	296,6897
739,9996	306,1731
749,9996	315,9245
759,9996	325,8465
769,9996	335,84
779,9996	345,8051
789,9996	355,6423
799,9996	365,2532
809,9996	374,5419
819,9996	383,4155
829,9996	391,7854
839,9996	399,5679
849,9996	406,6853
859,9996	413,0664
869,9996	418,6476
879,9996	423,373
889,9996	427,1954
899,9996	430,0766
909,9995	431,9879
919,9995	432,9102
929,9995	432,8341
939,9995	431,7606
949,9995	429,7003
959,9995	426,6737
